#####                                          #####
##                                                ##
## Titles Styling and Special Titles Localisation ##
##  Written for T4N - Restored by TypicalCrusader ##
##                                                ##
#####                                          #####

###																					   ###
##!!!Please add your titles / cultural title loc into appropriate place -TypicalCrusader##
###																					   ###

##                                                  ##
# The Format is:                                     #
# 	Culture Group                                    #
# 		Titles Styling                               #
#			All Feudal gov Empires                   #
#			All Republican gov Empires               #
#			Theocracy Empires                        #
#			Kingdom -> Duchy -> County -> Barony     #
#			After That all special landed_titles loc #
#		Title Holders Styling                        #
#			( same order as with Titles Styling )    #
##                                                  ##

#Code;English;;;;;;;;x

###EK

##Titles

#Empire
duchy_of_dongfangian;Hoshun of;;;;;;;;x
duchy_of_sandbender;Princedom of;;;;;;;;x

#City Duchies
city_duchy_of_ba_sing_se;Free City of;;;;;;;;x
city_duchy_of_earth_islander;Free City of;;;;;;;;x
city_duchy_of_eastern_earth;Free City of;;;;;;;;x
city_duchy_of_northern_earth;Free City of;;;;;;;;x
city_duchy_of_southern_earth;Free City of;;;;;;;;x
city_duchy_of_western_earth;Free City of;;;;;;;;x
city_duchy_of_dongfangian;Free City of;;;;;;;;x
city_duchy_of_omashuan;Free City of;;;;;;;;x

#Temple Duchies
temple_duchy_of_ba_sing_se;Temple Wing of;;;;;;;;x
temple_duchy_of_earth_islander;High Sagedom of;;;;;;;;x
temple_duchy_of_northern_earth;High Sagedom of;;;;;;;;x
temple_duchy_of_southern_earth;High Sagedom of;;;;;;;;x
temple_duchy_of_western_earth;High Sagedom of;;;;;;;;x
temple_duchy_of_eastern_earth;High Sagedom of;;;;;;;;x
temple_duchy_of_omashuan;High Sagedom of;;;;;;;;x
temple_duchy_of_dongfangian;High Sagedom of;;;;;;;;x

#County
county_of_ba_sing_se;County of;;;;;;;;x
county_of_earth_islander;County of;;;;;;;;x
county_of_northern_earth;County of;;;;;;;;x
county_of_western_earth;County of;;;;;;;;x
county_of_eastern_earth;County of;;;;;;;;x
county_of_southern_earth;County of;;;;;;;;x
county_of_omashuan;County of;;;;;;;;x
county_of_dongfangian;County of;;;;;;;;x
county_of_dongfangian;Minor Hoshun of;;;;;;;;x
county_of_sandbender;County of;;;;;;;;x

#City Counties
city_county_of_ba_sing_se;City of;;;;;;;;x
city_county_of_earth_islander;City of;;;;;;;;x
city_county_of_northern_earth;City of;;;;;;;;x
city_county_of_western_earth;City of;;;;;;;;x
city_county_of_eastern_earth;City of;;;;;;;;x
city_county_of_southern_earth;City of;;;;;;;;x
city_county_of_omashuan;City of;;;;;;;;x
city_county_of_dongfangian;City of;;;;;;;;x

#Temple Counties
temple_county_of_ba_sing_se;Sagedom of;;;;;;;;x
temple_county_of_earth_islander;Sagedom of;;;;;;;;x
temple_county_of_northern_earth;Sagedom of;;;;;;;;x
temple_county_of_southern_earth;Sagedom of;;;;;;;;x
temple_county_of_western_earth;Sagedom of;;;;;;;;x
temple_county_of_eastern_earth;Sagedom of;;;;;;;;x
temple_county_of_omashuan;Sagedom of;;;;;;;;x
temple_county_of_dongfangian;Sagedom of;;;;;;;;x

#Barony
barony_of_ba_sing_se;Neighborhood of;;;;;;;;x
barony_of_earth_islander;Barony of;;;;;;;;x
barony_of_eastern_earth;Barony of;;;;;;;;x
barony_of_northern_earth;Barony of;;;;;;;;x
barony_of_southern_earth;Barony of;;;;;;;;x
barony_of_western_earth;Barony of;;;;;;;;x
barony_of_omashuan;Barony of;;;;;;;;x
barony_of_dongfangian;Minor Clan of;;;;;;;;x
barony_of_sandbender;Barony of;;;;;;;;x

#City Baronies
city_barony_of_ba_sing_se;Neighborhood of;;;;;;;;x
city_barony_of_earth_islander;Borough of;;;;;;;;x
city_barony_of_northern_earth;Borough of;;;;;;;;x
city_barony_of_western_earth;Borough of;;;;;;;;x
city_barony_of_eastern_earth;Borough of;;;;;;;;x
city_barony_of_southern_earth;Borough of;;;;;;;;x
city_barony_of_omashuan;Borough of;;;;;;;;x
city_barony_of_dongfangian;Borough of;;;;;;;;x

#Temple Baronies
temple_barony_of_ba_sing_se;Temple of;;;;;;;;x
temple_barony_of_earth_islander;Monastery of;;;;;;;;x
temple_barony_of_northern_earth;Temple of;;;;;;;;x
temple_barony_of_southern_earth;Monastery of;;;;;;;;x
temple_barony_of_western_earth;Temple of;;;;;;;;x
temple_barony_of_eastern_earth;Temple of;;;;;;;;x
temple_barony_of_omashuan;Temple of;;;;;;;;x
temple_barony_of_dongfangian;Monastery of;;;;;;;;x

#Sand Boiz
sand_empire_of_sandbender;High Kingdom of;;;;;;;;x
sand_kingdom_of_sandbender;High Chiefdom of;;;;;;;;x
sand_duchy_of_sandbender;Chiefdom of;;;;;;;;x
sand_county_of_sandbender;Tribe of;;;;;;;;x
sand_barony_of_sandbender;Holding of;;;;;;;;x

DT_empire_of_sandbender;Monastic Kingdom of;;;;;;;;x
DT_kingdom_of_sandbender;Temple province of;;;;;;;;x
DT_duchy_of_sandbender;Temple Commandery of;;;;;;;;x
DT_county_of_sandbender;Monastery of;;;;;;;;x
DT_barony_of_sandbender;Temple of;;;;;;;;x

#Islamic like localisation
empire_sandbender;High Kingdom;;;;;;;;x
kingdom_sandbender;Kingdom;;;;;;;;x
duchy_sandbender;Princedom;;;;;;;;x
county_sandbender;County;;;;;;;;x
barony_sandbender;Barony;;;;;;;;x

empire_dongfangian;Khaganate;;;;;;;;x
kingdom_dongfangian;Khanate;;;;;;;;x
duchy_dongfangian;Hoshun;;;;;;;;x
county_dongfangian;Minor Hoshun;;;;;;;;x
barony_dongfangian;Barony;;;;;;;;x

#Special titles, DEV NOTE:Why the fuck i did not made it this way from the begining.... - TypicalCrusader
high_kingdom;High Kingdom of;;;;;;;;x
grand_duchy;Grand Duchy of;;;;;;;;x
noble_republic;Noble Republic of;;;;;;;;x
empire;Empire of;;;;;;;;x
grand_secretariat;Grand Secretariat of;;;;;;;;x

##Title Holders

#Emperor
emperor_ba_sing_se;King;;;;;;;;x
emperor_female_ba_sing_se;Queen;;;;;;;;x
emperor_earth_islander;King;;;;;;;;x
emperor_female_earth_islander;Queen;;;;;;;;x
emperor_eastern_earth;King;;;;;;;;x
emperor_female_eastern_earth;Queen;;;;;;;;x
emperor_western_earth;King;;;;;;;;x
emperor_female_western_earth;Queen;;;;;;;;x
emperor_southern_earth;King;;;;;;;;x
emperor_female_southern_earth;Queen;;;;;;;;x
emperor_northern_earth;King;;;;;;;;x
emperor_female_northern_earth;Queen;;;;;;;;x
emperor_omashuan;King;;;;;;;;x
emperor_female_omashuan;Queen;;;;;;;;x
emperor_dongfangian;Khagan;;;;;;;;x
emperor_female_dongfangian;Taihu;;;;;;;;x
emperor_sandbender;Shamoq Wong Dai Wong;;;;;;;;x
emperor_female_sanbender;Shamoq Wong Dai Hou;;;;;;;;x

#City Emperor
city_emperor_ba_sing_se;President;;;;;;;;x
city_emperor_female_ba_sing_se;President;;;;;;;;x
city_emperor_earth_islander;President;;;;;;;;x
city_emperor_female_earth_islander;President;;;;;;;;x
city_emperor_eastern_earth;President;;;;;;;;x
city_emperor_female_eastern_earth;President;;;;;;;;x
city_emperor_western_earth;President;;;;;;;;x
city_emperor_female_western_earth;President;;;;;;;;x
city_emperor_southern_earth;President;;;;;;;;x
city_emperor_female_southern_earth;President;;;;;;;;x
city_emperor_northern_earth;President;;;;;;;;x
city_emperor_female_northern_earth;President;;;;;;;;x
city_emperor_omashuan;President;;;;;;;;x
city_emperor_female_omashuan;President;;;;;;;;x
city_emperor_dongfangian;President;;;;;;;;x
city_emperor_female_dongfangian;President;;;;;;;;x
city_emperor_sandbender;President;;;;;;;;x
city_emperor_female_sandbender;President;;;;;;;;x

#Temple Emperor
temple_emperor_ba_sing_se;First Sage;;;;;;;;x
temple_emperor_female_ba_sing_se;First Sage;;;;;;;;x
temple_emperor_earth_islander;First Sage;;;;;;;;x
temple_emperor_female_earth_islander;First Sage;;;;;;;;x
temple_emperor_eastern_earth;First Sage;;;;;;;;x
temple_emperor_female_eastern_earth;First Sage;;;;;;;;x
temple_emperor_western_earth;First Sage;;;;;;;;x
temple_emperor_female_western_earth;First Sage;;;;;;;;x
temple_emperor_southern_earth;First Sage;;;;;;;;x
temple_emperor_female_southern_earth;First Sage;;;;;;;;x
temple_emperor_northern_earth;First Sage;;;;;;;;x
temple_emperor_female_northern_earth;First Sage;;;;;;;;x
temple_emperor_omashuan;First Sage;;;;;;;;x
temple_emperor_female_omashuan;First Sage;;;;;;;;x
temple_emperor_dongfangian;First Sage;;;;;;;;x
temple_emperor_female_dongfangian;First Sage;;;;;;;;x
temple_emperor_sandbender;First Sage;;;;;;;;x
temple_emperor_female_sandbender;First Sage;;;;;;;;x

#King
king_ba_sing_se;Inspector;;;;;;;;x
king_female_ba_sing_se;Inspector;;;;;;;;x
king_earth_islander;Inspector;;;;;;;;x
king_female_earth_islander;Inspector;;;;;;;;x
king_eastern_earth;Inspector;;;;;;;;x
king_female_eastern_earth;Inspector;;;;;;;;x
king_western_earth;Inspector;;;;;;;;x
king_female_western_earth;Inspector;;;;;;;;x
king_southern_earth;Inspector;;;;;;;;x
king_female_southern_earth;Inspector;;;;;;;;x
king_northern_earth;Inspector;;;;;;;;x
king_female_northern_earth;Inspector;;;;;;;;x
king_omashuan;Inspector;;;;;;;;x
king_female_omashuan;Inspector;;;;;;;;x
king_dongfangian;Khan;;;;;;;;x
king_female_dongfangian;Khatun;;;;;;;;x
king_barbarians;Gong;;;;;;;;x
king_female_barbarians;Gong;;;;;;;;x
king_sandbender;Shamoq Tai Wong;;;;;;;;x
king_female_sanbender;Shamoq Tai Hou;;;;;;;;x

#City Kings
city_king_ba_sing_se;Chancellor;;;;;;;;x
city_king_female_ba_sing_se;Chancellor;;;;;;;;x
city_king_earth_islander;Chancellor;;;;;;;;x
city_king_female_earth_islander;Chancellor;;;;;;;;x
city_king_eastern_earth;Chancellor;;;;;;;;x
city_king_female_eastern_earth;Chancellor;;;;;;;;x
city_king_western_earth;Chancellor;;;;;;;;x
city_king_female_western_earth;Chancellor;;;;;;;;x
city_king_southern_earth;Chancellor;;;;;;;;x
city_king_female_southern_earth;Chancellor;;;;;;;;x
city_king_northern_earth;Chancellor;;;;;;;;x
city_king_female_northern_earth;Chancellor;;;;;;;;x
city_king_omashuan;Chancellor;;;;;;;;x
city_king_female_omashuan;Chancellor;;;;;;;;x
city_king_dongfangian;Chancellor;;;;;;;;x
city_king_female_dongfangian;Chancellor;;;;;;;;x
city_king_sandbender;Chancellor;;;;;;;;x
city_king_female_sandbender;Chancellor;;;;;;;;x

#Temple Kings
temple_king_ba_sing_se;High Sage;;;;;;;;x
temple_king_female_ba_sing_se;High Sage;;;;;;;;x
temple_king_earth_islander;High Sage;;;;;;;;x
temple_king_female_earth_islander;High Sage;;;;;;;;x
temple_king_eastern_earth;High Sage;;;;;;;;x
temple_king_female_eastern_earth;High Sage;;;;;;;;x
temple_king_western_earth;High Sage;;;;;;;;x
temple_king_female_western_earth;High Sage;;;;;;;;x
temple_king_southern_earth;High Sage;;;;;;;;x
temple_king_female_southern_earth;High Sage;;;;;;;;x
temple_king_northern_earth;High Sage;;;;;;;;x
temple_king_female_northern_earth;High Sage;;;;;;;;x
temple_king_omashuan;High Sage;;;;;;;;x
temple_king_female_omashuan;High Sage;;;;;;;;x
temple_king_dongfangian;High Sage;;;;;;;;x
temple_king_female_dongfangian;High Sage;;;;;;;;x
temple_king_barbarians;High Sage;;;;;;;;x
temple_king_female_barbarians;High Sage;;;;;;;;x
temple_king_sandbender;High Sage;;;;;;;;x
temple_king_female_sandbender;High Sage;;;;;;;;x

#Duke
duke_ba_sing_se;[GetBaRulerStylingLoc];;;;;;;;x
duke_female_ba_sing_se;[GetBaRulerStylingLoc];;;;;;;;x
duke_earth_islander;Administrator;;;;;;;;x
duke_female_earth_islander;Administrator;;;;;;;;x
duke_eastern_earth;Administrator;;;;;;;;x
duke_female_eastern_earth;Administrator;;;;;;;;x
duke_western_earth;Administrator;;;;;;;;x
duke_female_western_earth;Administrator;;;;;;;;x
duke_southern_earth;Administrator;;;;;;;;x
duke_female_southern_earth;Administrator;;;;;;;;x
duke_northern_earth;Administrator;;;;;;;;x
duke_female_northern_earth;Administrator;;;;;;;;x
duke_omashuan;Administrator;;;;;;;;x
duke_female_omashuan;Administrator;;;;;;;;x
duke_dongfangian;Noyon;;;;;;;;x
duke_female_dongfangian;Khatun;;;;;;;;x
duke_dongfangian;Noyon;;;;;;;;x
duke_female_dongfangian;Khatun;;;;;;;;x
duke_barbarians;Hou;;;;;;;;x
duke_female_barbarians;Hou;;;;;;;;x
duke_sandbender;Shamoq Cen Wong;;;;;;;;x
duke_female_sanbender;Shamoq Cen Hou;;;;;;;;x

#City Dukes
city_duke_ba_sing_se;[GetBaRulerStylingLoc];;;;;;;;x
city_duke_female_ba_sing_se;[GetBaRulerStylingLoc];;;;;;;;x
city_duke_earth_islander;Lord Mayor;;;;;;;;x
city_duke_female_earth_islander;Madam Mayor;;;;;;;;x
city_duke_eastern_earth;Lord Mayor;;;;;;;;x
city_duke_female_eastern_earth;Madam Mayor;;;;;;;;x
city_duke_western_earth;Lord Mayor;;;;;;;;x
city_duke_female_western_earth;Madam Mayor;;;;;;;;x
city_duke_southern_earth;Lord Mayor;;;;;;;;x
city_duke_female_southern_earth;Madam Mayor;;;;;;;;x
city_duke_northern_earth;Lord Mayor;;;;;;;;x
city_duke_female_northern_earth;Madam Mayor;;;;;;;;x
city_duke_omashuan;Lord Mayor;;;;;;;;x
city_duke_female_omashuan;Madam Mayor;;;;;;;;x
city_duke_dongfangian;Lord Mayor;;;;;;;;x
city_duke_female_dongfangian;Madam Mayor;;;;;;;;x
city_duke_barbarians;Lord Mayor;;;;;;;;x
city_duke_female_barbarians;Madam Mayor;;;;;;;;x
city_duke_sanbender;Lord Mayor;;;;;;;;x
city_duke_female_sanbender;Madam Mayor;;;;;;;;x

#Temple Dukes
temple_duke_ba_sing_se;High Sage;;;;;;;;x
temple_duke_female_ba_sing_se;High Sage;;;;;;;;x
temple_duke_earth_islander;High Sage;;;;;;;;x
temple_duke_female_earth_islander;High Sage;;;;;;;;x
temple_duke_eastern_earth;High Sage;;;;;;;;x
temple_duke_female_eastern_earth;High Sage;;;;;;;;x
temple_duke_western_earth;High Sage;;;;;;;;x
temple_duke_female_western_earth;High Sage;;;;;;;;x
temple_duke_southern_earth;High Sage;;;;;;;;x
temple_duke_female_southern_earth;High Sage;;;;;;;;x
temple_duke_northern_earth;High Sage;;;;;;;;x
temple_duke_female_northern_earth;High Sage;;;;;;;;x
temple_duke_omashuan;High Sage;;;;;;;;x
temple_duke_female_omashuan;High Sage;;;;;;;;x
temple_duke_dongfangian;High Sage;;;;;;;;x
temple_duke_female_dongfangian;High Sage;;;;;;;;x
temple_duke_barbarians;High Sage;;;;;;;;x
temple_duke_female_barbarians;High Sage;;;;;;;;x
temple_duke_sandbender;High Sage;;;;;;;;x
temple_duke_female_sandbender;High Sage;;;;;;;;x

#Count
count_ba_sing_se;[GetBaRulerStylingLoc];;;;;;;;x
count_female_ba_sing_se;[GetBaRulerStylingLoc];;;;;;;;x
count_earth_islander;Magistrate;;;;;;;;x
count_female_earth_islander;Magistrate;;;;;;;;x
count_eastern_earth;Magistrate;;;;;;;;x
count_female_eastern_earth;Magistrate;;;;;;;;x
count_western_earth;Magistrate;;;;;;;;x
count_female_western_earth;Magistrate;;;;;;;;x
count_southern_earth;Magistrate;;;;;;;;x
count_female_southern_earth;Magistrate;;;;;;;;x
count_northern_earth;Magistrate;;;;;;;;x
count_female_northern_earth;Magistrate;;;;;;;;x
count_omashuan;Magistrate;;;;;;;;x
count_female_omashuan;Magistrate;;;;;;;;x
count_dongfangian;Tushiye Gong;;;;;;;;x
count_female_dongfangian;Gonji;;;;;;;;x
count_barbarians;Bo;;;;;;;;x
count_female_barbarians;Bo;;;;;;;;x
count_sandbender;Magistrate;;;;;;;;x
count_female_sandbender;Magistrate;;;;;;;;x

#City Counts
city_count_ba_sing_se;[GetBaRulerStylingLoc];;;;;;;;x
city_count_female_ba_sing_se;[GetBaRulerStylingLoc];;;;;;;;x
city_count_earth_islander;Mayor;;;;;;;;x
city_count_female_earth_islander;Mayor;;;;;;;;x
city_count_eastern_earth;Mayor;;;;;;;;x
city_count_female_eastern_earth;Mayor;;;;;;;;x
city_count_western_earth;Mayor;;;;;;;;x
city_count_female_western_earth;Mayor;;;;;;;;x
city_count_southern_earth;Mayor;;;;;;;;x
city_count_female_southern_earth;Mayor;;;;;;;;x
city_count_northern_earth;Mayor;;;;;;;;x
city_count_female_northern_earth;Mayor;;;;;;;;x
city_count_omashuan;Mayor;;;;;;;;x
city_count_female_omashuan;Mayor;;;;;;;;x
city_count_dongfangian;Mayor;;;;;;;;x
city_count_female_dongfangian;Mayor;;;;;;;;x
city_count_sandbender;Mayor;;;;;;;;x
city_count_female_sandbender;Mayor;;;;;;;;x

#Temple Counts
temple_count_ba_sing_se;Sage;;;;;;;;x
temple_count_female_ba_sing_se;Sage;;;;;;;;x
temple_count_earth_islander;Sage;;;;;;;;x
temple_count_female_earth_islander;Sage;;;;;;;;x
temple_count_eastern_earth;Sage;;;;;;;;x
temple_count_female_eastern_earth;Sage;;;;;;;;x
temple_count_western_earth;Sage;;;;;;;;x
temple_count_female_western_earth;Sage;;;;;;;;x
temple_count_southern_earth;Sage;;;;;;;;x
temple_count_female_southern_earth;Sage;;;;;;;;x
temple_count_northern_earth;Sage;;;;;;;;x
temple_count_female_northern_earth;Sage;;;;;;;;x
temple_count_omashuan;Sage;;;;;;;;x
temple_count_female_omashuan;Sage;;;;;;;;x
temple_count_dongfangian;Sage;;;;;;;;x
temple_count_female_dongfangian;Sage;;;;;;;;x
temple_count_barbarians;Sage;;;;;;;;x
temple_count_female_barbarians;Sage;;;;;;;;x
temple_count_sandbender;Sage;;;;;;;;x
temple_count_female_sandbender;Sage;;;;;;;;x

#Baron
baron_ba_sing_se;[GetBaRulerStylingLoc];;;;;;;;x
baron_female_ba_sing_se;[GetBaRulerStylingLoc];;;;;;;;x
baron_earth_islander;Baron;;;;;;;;x
baron_female_earth_islander;Baroness;;;;;;;;x
baron_eastern_earth;Baron;;;;;;;;x
baron_female_eastern_earth;Baroness;;;;;;;;x
baron_western_earth;Baron;;;;;;;;x
baron_female_western_earth;Baroness;;;;;;;;x
baron_southern_earth;Baron;;;;;;;;x
baron_female_southern_earth;Baroness;;;;;;;;x
baron_northern_earth;Baron;;;;;;;;x
baron_female_northern_earth;Baroness;;;;;;;;x
baron_omashuan;Baron;;;;;;;;x
baron_female_omashuan;Baroness;;;;;;;;x
baron_dongfangian;Terigun Zereg-un Taiji;;;;;;;;x
baron_female_dongfangian;Gonji;;;;;;;;x
baron_barbarians;Nan;;;;;;;;x
baron_female_barbarians;Baroness;;;;;;;;x
baron_sandbender;Baron;;;;;;;;x
baron_female_sandbender;Baroness;;;;;;;;x

#City Baron 
city_baron_ba_sing_se;[GetBaRulerStylingLoc];;;;;;;;x
city_baron_female_ba_sing_se;[GetBaRulerStylingLoc];;;;;;;;x
city_baron_earth_islander;Mayor;;;;;;;;x
city_baron_female_earth_islander;Mayor;;;;;;;;x
city_baron_eastern_earth;Mayor;;;;;;;;x
city_baron_female_eastern_earth;Mayor;;;;;;;;x
city_baron_western_earth;Mayor;;;;;;;;x
city_baron_female_western_earth;Mayor;;;;;;;;x
city_baron_southern_earth;Mayor;;;;;;;;x
city_baron_female_southern_earth;Mayor;;;;;;;;x
city_baron_northern_earth;Mayor;;;;;;;;x
city_baron_female_northern_earth;Mayor;;;;;;;;x
city_baron_omashuan;Mayor;;;;;;;;x
city_baron_female_omashuan;Mayor;;;;;;;;x
city_baron_dongfangian;Mayor;;;;;;;;x
city_baron_female_dongfangian;Mayor;;;;;;;;x
city_baron_barbarians;Mayor;;;;;;;;x
city_baron_female_barbarians;Mayor;;;;;;;;x

#Temple Baron 
temple_baron_ba_sing_se;Sage;;;;;;;;x
temple_baron_female_ba_sing_se;Sage;;;;;;;;x
temple_baron_earth_islander;Sage;;;;;;;;x
temple_baron_female_earth_islander;Sage;;;;;;;;x
temple_baron_eastern_earth;Sage;;;;;;;;x
temple_baron_female_eastern_earth;Sage;;;;;;;;x
temple_baron_western_earth;Sage;;;;;;;;x
temple_baron_female_western_earth;Sage;;;;;;;;x
temple_baron_southern_earth;Sage;;;;;;;;x
temple_baron_female_southern_earth;Sage;;;;;;;;x
temple_baron_northern_earth;Sage;;;;;;;;x
temple_baron_female_northern_earth;Sage;;;;;;;;x
temple_baron_omashuan;Sage;;;;;;;;x
temple_baron_female_omashuan;Sage;;;;;;;;x
temple_baron_dongfangian;Sage;;;;;;;;x
temple_baron_female_dongfangian;Sage;;;;;;;;x
temple_baron_barbarians;Sage;;;;;;;;x
temple_baron_female_barbarians;Sage;;;;;;;;x
temple_baron_sandbender;Sage;;;;;;;;x
temple_baron_female_sandbender;Sage;;;;;;;;x

#Special
special_king;King;;;;;;;;x
special_queen;Queen;;;;;;;;x
special_duke;Duke;;;;;;;;x
special_duchess;Duchess;;;;;;;;x
special_count;Count;;;;;;;;x
special_countess;Countess;;;;;;;;x
special_prince;Prince;;;;;;;;x
special_princess;Princess;;;;;;;;x
special_high_king;High King;;;;;;;;x
special_high_queen;High Queen;;;;;;;;x
special_emperor;Emperor;;;;;;;;x
special_empress;Empress;;;;;;;;x
magnate;Magnate;;;;;;;;x
GREAT_EMPEROR;Great Emperor;;;;;;;;x
GREAT_EMPRESS;Great Empress;;;;;;;;x
EARTH_KING;Earth King;;;;;;;;x
EARTH_QUEEN;Earth Queen;;;;;;;;x
HIGH_SAGE;High Sage;;;;;;;;x
GRAND_SECRETARIAT;Grand Secretariat;;;;;;;;x
GRAND_SECRETARIAT_FOA;Grand Secretariat;;;;;;;;x
LEADER;Commander;;;;;;;;x
COUNCILLOR;Councillor;;;;;;;;x
COUNCILLOR_FOA;High Councillor;;;;;;;;x
PRESIDENT;President;;;;;;;;x
quan_holder_male;[GetQuanHolderTitleName];;;;;;;;x
quan_holder_female;[GetQuanHolderTitleName];;;;;;;;x
first_rider;Khan;;;;;;;;x
first_rider_fem;Khan;;;;;;;;x
grand_secretary;Grand Secretary;;;;;;;;x
GREAT_UNITER;Great Uniter;;;;;;;;x

#Sand Boiz
DT_emperor_sandbender;Sage High King;;;;;;;;x
DT_emperor_female_sandbender;Sage High Queen;;;;;;;;x
DT_king_sandbender;Sage King;;;;;;;;x
DT_king_female_sandbender;Sage Queen;;;;;;;;x
DT_duke_sandbender;High Sage;;;;;;;;x
DT_duke_female_sandbender;High Sage;;;;;;;;x
DT_count_sandbender;Sage;;;;;;;;x
DT_count_female_sandbender;Sage;;;;;;;;x
DT_baron_sandbender;Sage;;;;;;;;x
DT_baron_female_sandbender;Sage;;;;;;;;x

sand_emperor_sandbender;High King;;;;;;;;x
sand_emperor_female_sandbender;High Queen;;;;;;;;x
sand_king_sandbender;King;;;;;;;;x
sand_king_female_sandbender;Queen;;;;;;;;x
sand_duke_sandbender;High Chief;;;;;;;;x
sand_duke_female_sandbender;High Chieftess;;;;;;;;x
sand_count_sandbender;Chief;;;;;;;;x
sand_count_female_sandbender;Chieftess;;;;;;;;x
sand_baron_sandbender;Chieftain;;;;;;;;x
sand_baron_female_sandbender;Chieftess;;;;;;;;x

#Holders foas
GREAT_UNITER_FOA;Great Uniter;;;;;;;;x
DRAGON_GENERAL_FOA;Most Mighty Dragon;;;;;;;;x
PRESIDENT_FOA;Honorable President;;;;;;;;x
GREAT_RESTORER_FOA;Your Greatness;;;;;;;;x
EARTH_KING_FOA;Your Majesty;;;;;;;;x
SAGE_FOA;High Sage;;;;;;;;x
LEADER_FOA;Commander;;;;;;;;x
your_majesty;Your Majesty;;;;;;;;;;;x
imperial_secretary;Imperial Secretary;;;;;;;;;;;x


##Councilors

#Generic
job_spiritual_southern_earth;Spiritual Guide;;;;;;;;;x
job_chancellor_western_earth;Diplomat;;;;;;;;;x
job_marshal_western_earth;Guard Captain;;;;;;;;;;x
job_treasurer_western_earth;Merchant Advisor;;;;;;;;;x
job_spymaster_western_earth;Espionage Expert;;;;;;;;;x
job_spiritual_western_earth;Spiritual Guide;;;;;;;;;x

